,memory_size,average,variance,median,true_value,abs_average_diff,abs_median_diff
0,5000,1602375.2365242052,1468061581.4051301,1600597.5888690138,1612010,9634.76347579481,11412.411130986176
1,10000,1635916.6461653742,853374228.8768051,1641419.8834355222,1612010,23906.6461653742,29409.883435522206
2,20000,1619234.6443472381,1410105416.158154,1611849.344894988,1612010,7224.644347238122,160.65510501200333
3,30000,1608022.1715249182,264219920.21102995,1614600.5653438563,1612010,3987.8284750818275,2590.565343856346
4,90000,1612010.0,0.0,1612010.0,1612010,0.0,0.0
