,memory_size,average,variance,median,true_value,abs_average_diff,abs_median_diff
0,5000,1633429.5118923397,1083678694.2903254,1631306.3013761574,1612010,21419.51189233968,19296.30137615744
1,10000,1618949.0055092825,2023655603.1609716,1618203.3465202556,1612010,6939.005509282462,6193.346520255553
2,20000,1598902.1167750973,78387776.67469493,1599074.651700886,1612010,13107.883224902675,12935.348299114034
3,30000,1608618.5801621089,354818230.8686566,1599166.7825540863,1612010,3391.419837891124,12843.217445913702
4,90000,1612010.0,0.0,1612010.0,1612010,0.0,0.0
