,memory_size,average,variance,median,true_value,abs_average_diff,abs_median_diff
0,5000,1630303.430467056,9138055657.629381,1652297.4059202375,1612010,18293.43046705611,40287.405920237536
1,10000,1613839.0872125053,264472357.9718896,1614010.8635921977,1612010,1829.0872125052847,2000.863592197653
2,20000,1614369.8769987877,485681685.50774807,1615486.2559764453,1612010,2359.876998787746,3476.2559764452744
3,30000,1614890.2520013924,160928868.44261542,1615341.8699164474,1612010,2880.2520013924222,3331.8699164474383
4,90000,1612010.0,0.0,1612010.0,1612010,0.0,0.0
